Run Number,Comment
1,test data to figure out what is going on
2,test data to figure out what is going on
80,Trigger Rate > 2
87,changing to upward and downward facing trigger
88,testing initial threshold of 1.2 for surface channel
89,testing initial threshold of 0.7 for surface channel
90,"testing: scalar goal of surface to 0, except for cha 16"
91,"testing: scalar goal of surface to 0, except for cha 17"
92,"testing: scalar goal of surface to 0, except for cha 15"
93,testing
94,
320,Trigger Rate > 2
342,
343,
363,
364,
365,
382,
383,
384,
390,
404,
405,
406,
407,
408,
414,
419,
420,
421,
422,
424,
425,
426,
427,
428,
429,
430,
431,
465,
466,
469,
470,
635,only RF0 active
636,only RF1 active
982,"Calibration pulsing (PA trigger, fiber0,10dB attenuation, pulser)"
983,"Calibration pulsing (PA trigger, fiber0,10dB attenuation, pulser)"
984,"Calibration pulsing (PA trigger, fiber0, 5dB attenuation, pulser)"
985,"Calibration pulsing (PA trigger, fiber0, 0dB attenuation, pulser)"
988,"Calibration pulser run (PA trigger, fiber1, 0dB attenuation, pulser)"
989,"Calibration pulser run (PA trigger, fiber1, 5dB attenuation, pulser)"
990,"Calibration pulser run (PA trigger, fiber1, 10dB attenuation, pulser)"
991,"Calibration pulser run (PA trigger, fiber1, 10dB attenuation, pulser)"
992,"Calibration pulser run (PA trigger, fiber1, 10dB attenuation, pulser)"
1042,"Calibration run (PPS trigger, 0dB attenuation, 0.2mus time offset, surface pulser,)"
1043,"Calibration run (PPS trigger, 0dB attenuation, 0.4mus time offset, surface pulser,)"
1044,"Calibration run (PPS trigger, 0dB attenuation, 0.3mus time offset, surface pulser,)"
1045,"Calibration run (PPS trigger, 0dB attenuation, 0.6mus time offset, surface pulser,)"
1046,"Calibration run (PPS trigger, 0dB attenuation, 0.8mus time offset, surface pulser,)"
1047,"Calibration run (PPS trigger, 0dB attenuation, 1.0mus time offset, surface pulser,)"
1058,
1059,
1060,
1061,
1062,
1063,
1064,
1065,
1066,
1067,
1068,
1069,
1070,
1071,
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1295,Trigger Rate > 2
1671,Trigger Rate > 2
1736,Trigger Rate > 2
1777,Trigger Rate > 2
1778,Trigger Rate > 2
1796,fib0 sweep
1797,fib0 sweep
2040,bermtop pulsing
2041,bermtop pulsing
2042,bermtop pulsing
2043,bermtop pulsing
2280,Trigger Rate > 2
3126,fib0 sweep
3127,fib1 sweep
3128,fib0 sweep
3130,
3293,Trigger Rate > 2
3294,Trigger Rate > 2
3295,Trigger Rate > 2
3296,Trigger Rate > 2
3297,Trigger Rate > 2
3299,Trigger Rate > 2
3891,Trigger Rate > 2
3892,Trigger Rate > 2
3893,Trigger Rate > 2
3894,Trigger Rate > 2
3897,Trigger Rate > 2
3898,Trigger Rate > 2
3909,Trigger Rate > 2
3949,Trigger Rate > 2
3967,Trigger Rate > 2
3974,Trigger Rate > 2
3981,Trigger Rate > 2
50000,Test runs after daq swap
50003,"Namespace(frequency=1, duration=30, comment='Test calibration run. Fiber1 5 dB', host='10.3.0.41', config='stationrc/remote_control/conf/acq.calib.cfg', filename=None, eventbrowser=False, plot=False, calib_channel='fiber1', calib_type='pulser', enable_calib=True, attenuation=5.0, trigger=['flower'])"
50004,"Namespace(frequency=1, duration=30, comment='Test calibration run. Fiber1 5 dB', host='10.3.0.41', config='stationrc/remote_control/conf/acq.calib.cfg', filename=None, eventbrowser=False, plot=False, calib_channel='fiber1', calib_type='pulser', enable_calib=True, attenuation=5.0, trigger=['flower'])"
50006,Test run after daq swap
50007,Test run after daq swap
50008,Test run after daq swap
50009,Test run after daq swap
50010,Test run after daq swap
240052,Trigger Rate > 2
240053,Trigger Rate > 2
240054,Trigger Rate > 2
240147,Trigger Rate > 2
240155,Trigger Rate > 2
240156,Trigger Rate > 2
240171,Trigger Rate > 2
240172,Trigger Rate > 2
240182,Trigger Rate > 2
240206,Trigger Rate > 2
240326,Trigger Rate > 2
240370,Trigger Rate > 2
240372,fib0 sweep
240373,coax sweep
240374,fib1 sweep
240503,Recording flower waveforms before and after the daq run.
240513,Recording flower waveforms after the daq run.
240520,Trigger Rate > 2
240521,Trigger Rate > 2
240529,Trigger Rate > 2
240550,Trigger Rate > 2
240551,Trigger Rate > 2
240552,Trigger Rate > 2
240553,Trigger Rate > 2
240554,Trigger Rate > 2
240555,Trigger Rate > 2
240556,Trigger Rate > 2
240628,Trigger Rate > 2
240629,Trigger Rate > 2
240630,Trigger Rate > 2
240726,Trigger Rate > 2
240727,Trigger Rate > 2
240728,Trigger Rate > 2
240730,Trigger Rate > 2
240734,Trigger Rate > 2
240735,Trigger Rate > 2
240736,Trigger Rate > 2
240738,Trigger Rate > 2
240739,Trigger Rate > 2
240740,Trigger Rate > 2
240741,Trigger Rate > 2
240742,Trigger Rate > 2
240761,Trigger Rate > 2
