Run Number,Comment
3,Trigger Rate > 2
4,Trigger Rate > 2
5,Trigger Rate > 2
6,Trigger Rate > 2
7,Trigger Rate > 2
8,Trigger Rate > 2
9,Trigger Rate > 2
10,Trigger Rate > 2
11,Trigger Rate > 2
12,Trigger Rate > 2
13,Trigger Rate > 2
14,Trigger Rate > 2
15,Trigger Rate > 2
16,Trigger Rate > 2
17,Trigger Rate > 2
18,Trigger Rate > 2
19,Trigger Rate > 2
20,Trigger Rate > 2
21,Trigger Rate > 2
22,Trigger Rate > 2
23,Trigger Rate > 2
24,Trigger Rate > 2
25,Trigger Rate > 2
26,Trigger Rate > 2
27,Trigger Rate > 2
28,Trigger Rate > 2
29,Trigger Rate > 2
30,Trigger Rate > 2
31,Trigger Rate > 2
32,Trigger Rate > 2
33,Trigger Rate > 2
34,Trigger Rate > 2
35,Trigger Rate > 2
36,Trigger Rate > 2
37,Trigger Rate > 2
38,Trigger Rate > 2
39,Trigger Rate > 2
40,Trigger Rate > 2
41,Trigger Rate > 2
42,Trigger Rate > 2
43,Trigger Rate > 2
44,Trigger Rate > 2
45,Trigger Rate > 2
46,Trigger Rate > 2
47,"surface pulsing, att=32"
129,Trigger Rate > 2
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
425,Trigger Rate > 2
482,
483,
486,
487,
705,Trigger Rate > 2
731,Trigger Rate > 2
732,Trigger Rate > 2
733,Trigger Rate > 2
734,Trigger Rate > 2
735,Trigger Rate > 2
736,Trigger Rate > 2
938,Trigger Rate > 2
999,"Calibration pulsing (PA trigger, 0dB attenuation, fiber0, pulser)"
1000,"Calibration pulsing (PA trigger, 0dB attenuation, fiber0, pulser)"
1001,"Calibration pulsing (PA trigger, 5dB attenuation, fiber0, pulser)"
1002,"Calibration pulsing (PA trigger, 10dB attenuation, fiber0, pulser)"
1014,Trigger Rate > 2
1015,Trigger Rate > 2
1016,Trigger Rate > 2
1017,Trigger Rate > 2
1018,Trigger Rate > 2
1019,Trigger Rate > 2
1020,Trigger Rate > 2
1036,"Calibration run (PA trigger, 0dB attenuation, fiber1, pulser)"
1037,"Calibration run (PA trigger, 5dB attenuation, fiber1, pulser)"
1038,"Calibration run (PA trigger, 5dB attenuation, fiber1, pulser)"
1039,"Calibration run (PA trigger, 10dB attenuation, fiber1, pulser)"
1040,"Calibration run (PA trigger, 0dB attenuation, fiber1, pulser)"
1041,"Calibration run (PA trigger, 5dB attenuation, fiber1, pulser)"
1042,"Calibration run (PA trigger, 10dB attenuation, fiber1, pulser)"
1043,"Calibration run (forced trigger, 5dB attenuation, fiber1, vco)"
1044,"Calibration run (forced trigger, 5dB attenuation, fiber0, vco)"
1045,"Calibration run (forced trigger, 5dB attenuation, fiber0, vco)"
1046,"Calibration run (forced trigger, 5dB attenuation, fiber0, vco)"
1047,"Calibration run (forced trigger, 5dB attenuation, fiber0, vco)"
1048,"Calibration run (forced trigger, 5dB attenuation, fiber0, vco)"
1074,"Calibration run (PPS trigger, 0dB attenuation, surface, 0.0mus time offset)"
1075,"Calibration run (PPS trigger, 0dB attenuation, surface, 0.2mus time offset)"
1076,"Calibration run (PPS trigger, 0dB attenuation, surface, 0.4mus time offset)"
1077,"Calibration run (PPS trigger, 0dB attenuation, surface, 0.6mus time offset)"
1078,"Calibration run (PPS trigger, 0dB attenuation, surface, 0.8mus time offset)"
1079,"Calibration run (PPS trigger, 0dB attenuation, surface, 0.3mus time offset)"
1080,"Calibration run (PPS trigger, 0dB attenuation, surface, 1.0mus time offset)"
1081,"Calibration run (PPS trigger, 0dB attenuation, surface, 1.2mus time offset)"
1084,"Calibration run (PPS trigger, 0dB attenuation, surface, 1.4mus time offset)"
1085,"Calibration run (PPS trigger, 0dB attenuation, surface, 1.6mus time offset)"
1086,"Calibration run (PPS trigger, 0dB attenuation, surface, 1.8mus time offset)"
1087,"Calibration run (PPS trigger, 0dB attenuation, surface, 1.1mus time offset)"
1088,"Calibration run (PPS trigger, 0dB attenuation, surface, 2.0mus time offset)"
1100,
1101,
1102,
1103,
1104,
1105,
1106,
1107,
1108,
1109,
1110,
1111,
1112,
1113,
1114,
1115,
1116,
1117,
1118,
1119,
1120,
1121,
1143,coax sweep
1239,Trigger Rate > 2
1270,Trigger Rate > 2
1338,Trigger Rate > 2
1367,Trigger Rate > 2
1532,Trigger Rate > 2
1540,Trigger Rate > 2
1588,Trigger Rate > 2
1590,Trigger Rate > 2
1591,Trigger Rate > 2
1592,Trigger Rate > 2
1593,Trigger Rate > 2
1594,Trigger Rate > 2
1595,Trigger Rate > 2
1596,Trigger Rate > 2
1597,Trigger Rate > 2
1598,Trigger Rate > 2
1599,Trigger Rate > 2
1600,Trigger Rate > 2
1601,Trigger Rate > 2
1602,Trigger Rate > 2
1603,Trigger Rate > 2
1604,Trigger Rate > 2
1605,Trigger Rate > 2
1606,Trigger Rate > 2
1607,Trigger Rate > 2
1608,Trigger Rate > 2
1609,Trigger Rate > 2
1610,Trigger Rate > 2
1611,Trigger Rate > 2
1612,Trigger Rate > 2
1613,Trigger Rate > 2
1614,Trigger Rate > 2
1615,Trigger Rate > 2
1616,Trigger Rate > 2
1617,Trigger Rate > 2
1618,Trigger Rate > 2
1619,Trigger Rate > 2
1620,Trigger Rate > 2
1621,Trigger Rate > 2
1622,Trigger Rate > 2
1623,Trigger Rate > 2
1624,Trigger Rate > 2
1625,Trigger Rate > 2
1626,Trigger Rate > 2
1627,Trigger Rate > 2
1628,Trigger Rate > 2
1629,Trigger Rate > 2
1630,Trigger Rate > 2
1631,Trigger Rate > 2
1632,Trigger Rate > 2
1633,Trigger Rate > 2
1634,Trigger Rate > 2
1635,Trigger Rate > 2
1636,Trigger Rate > 2
1637,Trigger Rate > 2
1638,Trigger Rate > 2
1639,Trigger Rate > 2
1640,Trigger Rate > 2
